id,host_id,neighbourhood_cleansed,latitude,longitude,host_since,price,price_category,price_per_person,room_type,property_type,accommodates,host_total_listings_count,host_professional,host_scope,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,estimated_revenue_l365d,estimated_occupancy_l365d
928422,4998200,Santanyí,39.36272795265436,3.221095520967654,2013-02-07,199.0,Mid-range,49.75,Entire home/apt,Entire rental unit,4,2.0,False,Local,146,4.87,4.85,4.85,4.82,4.74,4.76,4.66,1.08,t,23880.0,120
928607,4046511,Santa Margalida,39.7352,3.22779,2012-11-03,174.0,Mid-range,43.5,Entire home/apt,Entire rental unit,4,10.0,True,Local,87,4.75,4.8,4.76,4.79,4.74,4.71,4.74,0.57,f,5220.0,30
929043,5001516,Alcúdia,39.86457,3.12738,2013-02-07,279.0,Premium,34.875,Entire home/apt,Entire chalet,8,1.0,False,Local,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01,f,0.0,0
929240,4645996,Felanitx,39.4151,3.24924,2013-01-09,176.0,Mid-range,44.0,Entire home/apt,Entire townhouse,4,109.0,True,Mixed,4,4.5,3.75,4.25,4.75,4.75,4.0,4.25,0.04,f,0.0,0
931856,2694897,Palma de Mallorca,39.57197,2.65196,2012-06-20,200.0,Mid-range,50.0,Entire home/apt,Entire rental unit,4,5.0,True,Local,701,4.72,4.87,4.81,4.89,4.92,4.9,4.72,4.62,t,51000.0,255
934985,5044701,Andratx,39.54882,2.3964,2013-02-11,650.0,Luxury,81.25,Entire home/apt,Entire home,8,1.0,False,Local,9,4.67,4.67,4.56,4.89,4.89,5.0,4.33,0.12,f,19500.0,30
936872,5057667,Manacor,39.54351,3.33533,2013-02-12,195.0,Mid-range,39.0,Entire home/apt,Entire home,5,1.0,False,Local,3,5.0,5.0,5.0,4.67,5.0,5.0,5.0,0.03,f,0.0,0
937259,5059734,Santa Margalida,39.70985,3.11248,2013-02-12,830.0,Luxury,51.875,Entire home/apt,Entire villa,16,2.0,False,Mixed,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.52,f,11620.0,14
938647,5070073,Llucmajor,39.51957,2.91135,2013-02-13,100.0,Budget,50.0,Private room,Private room in hostel,2,14.0,True,Global,14,4.21,4.21,3.79,4.93,4.79,4.79,3.93,0.1,f,0.0,0
939135,5072726,Santanyí,39.33224,3.14611,2013-02-13,375.0,Premium,62.5,Entire home/apt,Entire home,6,1.0,False,Local,96,4.52,4.69,4.26,4.84,4.83,4.83,4.5,0.64,f,9000.0,24
939198,5073107,Felanitx,39.46682,3.19154,2013-02-13,180.0,Mid-range,25.714285714285715,Entire home/apt,Entire chalet,7,1.0,False,Local,66,4.91,4.91,4.95,4.98,4.95,4.78,4.77,0.46,f,10800.0,60
940162,3890680,Pollença,39.91885,3.0545,2012-10-16,110.0,Mid-range,55.0,Entire home/apt,Entire rental unit,2,4.0,True,Global,101,4.75,4.82,4.56,4.85,4.92,4.83,4.69,0.88,f,10560.0,96
940382,1460286,Calvià,39.49914,2.4625,2011-12-01,520.0,Luxury,57.77777777777778,Entire home/apt,Entire home,9,2.0,False,Mixed,139,4.86,4.87,4.86,4.94,4.94,4.87,4.69,0.91,t,37440.0,72
940807,5084530,Campos,39.39155,3.08224,2013-02-14,250.0,Premium,41.666666666666664,Entire home/apt,Entire cottage,6,4.0,True,Global,32,4.72,4.81,4.75,4.81,4.75,4.65,4.55,0.21,f,21000.0,84
